MÓDULO ;FUNCIONALIDAD;PROCESO;SEGMENTO;CASO DE PRUEBA;RESULTADO ESPERADO
Mantenedor Negocio ;Migraciones;switch flujo de migraciones-Desactivado;NA;Validar que se pueda desactivar el switch de migraciones  desde mantenedor;Al desactivar el switch de migraciones en mantenedor la aplicación NO deberá mostrar la opción 'Pásate a un plan' en el menú hamburguesa
Mantenedor Negocio ;Migraciones;switch flujo de migraciones-Activado;NA;Validar que se pueda Activar el switch de migraciones  desde mantenedor;Al Activar el switch de migraciones en mantenedor la aplicación deberá mostrar la opción 'Pásate a un plan' en el menú hamburguesa
Mantenedor Negocio ;Migraciones;Configuración de parrillas migraciones ;NA;Validar que se haya realizado la configuarcion de parrillas migraciones desde Mantenedor NBA Flujo nativo ;"Se deberá mostrar la pantalla muestra el plan 1 con los campos -Código del plan-, -Diferenciador de plan-, -Nombre de plan-, -Costo del plan-, -Beneficios del plan-, -Texto de botón-, Switch-¿Caribu?-, Switch -¿Desea mostrar en el app?-, -Formulario guardado-,-Orden/Prioridad-, -Descuento-, -Monto fianza anual-, -Información de descuento-.
También en la misma pantalla deslizando un poco hacia abajo podemos encontrar un combo lista -Beneficios incluidos-, la implementación de un contenedor editor HTML para el diseño de los planes y la vista previa del diseño del plan.
En la parte inferior de la pantalla deslizando completamente hacia abajo podemos encontrar un contenedor de texto -Términos y condiciones de Uso- y otro contenedor -Contrato- con el código en HTML que debe usarse en todos los planes para el correcto funcionamiento."
Mantenedor Negocio ;Migraciones;"
Configuracion de parrillas Swich mostrar en la app
Plan 2 Activado";NA;Validar la correcta configuración del swich caribu parrillas para su posterior visualizacion en la app;"La pantalla deberá mostrar el plan 2 con los campos -Código del plan-, -Diferenciador de plan-, -Nombre de plan-, -Costo del plan-, -Beneficios del plan-, -Texto de botón-, Switch-¿Caribu?-, Switch -¿Desea mostrar en el app?-, -Formulario guardado-,-Orden/Prioridad-, -Descuento-, -Monto fianza anual-, -Información de descuento-.
Se deja Switch- ¿Caribu? - activado ya que este plan solo se visualizará en los Dns para flujo migraciones caribu
Se da clic en el botón Continuar. 
El sistema nos muestra en pantalla que la actualización se realizó de manera correcta"
Mantenedor Negocio ;Migraciones;"
Configuracion de parrillas Swich mostrar en la app
Plan 2 Desactivado";NA;Validar la correcta configuración del swich caribu parrillas cuando se encuentre desactivado ;Al desactivar el switch caribu La aplicación NO debera de mostrar el plan 2 de migraciones caribu en la pantalla planes movistar 
Mantenedor Negocio ;Migraciones;Mantenedor Parrillas Switch Caribu plan 2 y 3 Encendido;NA;Validar la correcta configuracion switch caribu en las parrillas los planes 2 y 3  ;"Se deberá mostrar la pantalla muestra el plan 2 y 3 con los campos -Código del plan-, -Diferenciador de plan-, -Nombre de plan-, -Costo del plan-, -Beneficios del plan-, -Texto de botón-, Switch-¿Caribu?-, Switch -¿Desea mostrar en el app?-, -Formulario guardado-,-Orden/Prioridad-, -Descuento-, -Monto fianza anual-, -Información de descuento-.
También en la misma pantalla deslizando un poco hacia abajo podemos encontrar un combo lista -Beneficios incluidos-, la implementación de un contenedor editor HTML para el diseño de los planes y la vista previa del diseño del plan.
En la parte inferior de la pantalla deslizando completamente hacia abajo podemos encontrar un contenedor de texto -Términos y condiciones de Uso- y otro contenedor -Contrato- con el código en HTML que debe usarse en todos los planes para el correcto funcionamiento."
Mantenedor Negocio ;Migraciones;Mantenedor Parrillas Switch Caribu plan 1, 4y  5 Encendido  y 2, 3 Apagado ;NA;Validar la correcta configuracion switch caribu encendido en las parrillas los planes 1, 4 y 5   y el apagado en los planes 2 y 3 ;"Se deberá mostrar la pantalla muestra el plan 1, 4  y 5 con los campos -Código del plan-, -Diferenciador de plan-, -Nombre de plan-, -Costo del plan-, -Beneficios del plan-, -Texto de botón-, Switch-¿Caribu?-, Switch -¿Desea mostrar en el app?-, -Formulario guardado-,-Orden/Prioridad-, -Descuento-, -Monto fianza anual-, -Información de descuento-.
También en la misma pantalla deslizando un poco hacia abajo podemos encontrar un combo lista -Beneficios incluidos-, la implementación de un contenedor editor HTML para el diseño de los planes y la vista previa del diseño del plan.
En la parte inferior de la pantalla deslizando completamente hacia abajo podemos encontrar un contenedor de texto -Términos y condiciones de Uso- y otro contenedor -Contrato- con el código en HTML que debe usarse en todos los planes para el correcto funcionamiento. 
Al apagar el swich en los planes 2 y 3 no deberán mostrar informacion en la app "
Migraciones Caribu;(Migracion Caribu) inicio de sesión DN  prepago ;Pantalla de consumo ;Prepago;Validar que en la pantalla de consumo se muestre un slider con la opcion conocer planes ;Al ingresar a la pantalla de consumo se deberá mostrar un slider con el boton conocer planes 
Migraciones Caribu;Pantalla de consumo ;Slider boton conocer planes ;Prepago;Validar que al darle clic en el botón conocer plane mande a la pantalla de los planes directamente  ;"Al darle clic al boton ""conocer mas planes"" mandara a los planes directamente. Pantalla azul"
Migraciones Caribu;(Migracion Caribu) inicio de sesión DN  prepago ;Menú Hamburguesa Swich Activado desde mantenedor;Prepago;"Validar que el segmento prepago muestre en el menu hamburguesa la opción ""Pasate a un plan""";Al ser un dn apto para migración caribu mostrará la opcion pasate a un plan 
