MÓDULO ;FUNCIONALIDAD;PROCESO;SEGMENTO;CASO DE PRUEBA
Redenciónes;Redencion Mantenedor -Exitoso;;Control y pospago;
Redenciónes;Redencion Mantenedor reportes -Exitoso;;Control y pospago;
Redenciónes;Redencion APP - Exitoso;;Control y pospago;
Redenciónes;Beneficios planes Giga Move y ofertas anteriore mayor a 12 meses;Cupon GAMING;Control y pospago;Nov (14, 15 y 16)
Redenciónes;Beneficios planes Giga Move y ofertas anteriores mayor a 12 meses;4 GB PARA NAVEGAR;Control y pospago;Nov (14, 15 y 16)
Redenciónes;Beneficios planes Giga Move y ofertas anteriores mayor a 12 meses;Terminales Descuento de 5%;Control y pospago;Dic (11, 12 y 13)
Redenciónes;Beneficios planes Giga Move y ofertas anteriores mayor a 12 meses;5 GB PARA NAVEGAR;Control y pospago;Dic (11, 12 y 13)
Redenciónes;Beneficios planes Giga Move y ofertas anteriores mayor a 12 meses;Terminales Descuento de 10%;Control y pospago;Ene (4, 5 y 6)
Redenciónes;Beneficios planes Giga Move y ofertas anteriores mayor a 12 meses;6 GB PARA NAVEGAR;Control y pospago;Ene (4, 5 y 6)
Redenciónes;Beneficios planes Giga Move y ofertas anteriores de 0 a 12;Cupon GAMING;Control y pospago;
Redenciónes;Beneficios planes Giga Move y ofertas anteriores de 0 a 12;2 GB PARA NAVEGAR;Control y pospago;
Redenciónes;Beneficios planes Giga Move y ofertas anteriores de 0 a 12;Terminales Descuento de 5%;Control y pospago;
Redenciónes;Beneficios planes Giga Move y ofertas anteriores de 0 a 12;4 GB PARA NAVEGAR;Control y pospago;
Redenciónes;Bonos de Regalo;;Control y pospago;
Redenciónes;Descuentos y Regalos;;Control y pospago;
Redenciónes;Campaña Fidelización ;;Control y pospago;
Redenciónes;REPORTES;;Control y pospago;
Redenciónes;Deeplink ;;Control y pospago;
