Caso de Prueba;Área Funcional / Sub proceso;Resultado Esperado
1.1– MANTENEDOR – SWITCH FLUJO DE MIGRACIONES-DESACTIVADO;Mantenedor - Migraciones;La aplicación no deberá mostrar la opción 'Pásate a un plan' en el menú hamburguesa
1.2– MANTENEDOR – SWITCH FLUJO DE MIGRACIONES ACTIVADO;Mantenedor - Migraciones;La aplicación deberá mostrar la opción 'Pásate a un plan' en el menú hamburguesa
1.3– MANTENEDOR – CONFIGURACIÓN DE PARRILLAS- MIGRACIONES;Mantenedor - Migraciones;La aplicación debera de mostrar la pantalla del plan 1 en Dn Migraciones Normal
1.4– MANTENEDOR – CONFIGURACIÓN DE PARRILLAS - SWITCH MOSTRAR EN EL APP – PLAN 2 – ACTIVADO;Mantenedor - Migraciones switch Caribu;La aplicación debera de mostrar la pantalla planes movistar el plan 2 en Migraciones Caribu
1.5– MANTENEDOR – CONFIGURACIÓN DE PARRILLAS - SWITCH MOSTRAR EN EL APP – PLAN 2 – DESACTIVADO;Migraciones-Caribu;La aplicación no debera de mostrar el plan 2 de migraciones caribu en la pantalla planes movistar 
1.6– MANTENEDOR - PARRILLAS SWITCH CARIBU – PLAN 2 Y 3 ENCENDIDO;Mantenedor - Migraciones switch Caribu;La aplicación debera de mostrar la pantalla planes movistar con los planes  1 ,4 y 5 en Dn Migraciones Normal y los planes 2 y 3 con Dn Migraciones Caribu
1.7– MANTENEDOR - PARRILLAS SWITCH CARIBU – PLAN 1, 4 Y 5 ENCENDIDO, PLAN 2 Y 3 APAGADO.;Mantenedor - Migraciones switch Caribu;La aplicación debera de mostrar la pantalla planes movistar con los planes  2 y 3 en Dn Migraciones Normal y los planes 1, 4 y 5 con Dn Migraciones Caribu
1.8– MIGRACIÓN CARIBU – EXITOSO.;Migraciones-Caribu;La aplicación debera mostrar la pantalla de cambio exitoso de migraciones caribu
1.9– MIGRACIÓN CARIBU – PANTALLA DE BLOQUEO.;Migraciones-Caribu;La aplicación debera mostrar la pantalla bloqueada en la opcion de el menú haburguesa (Pásate a un plan).
1.1– MIGRACIÓN CARIBU- DATOS INCORRECTOS.;Migraciones-Caribu;La aplicación no permitira seguir el flujo ya que los datos son incorrectos.
1.11– MIGRACIÓN NORMAL-EXITOSO;Migraciones-Normal;La aplicación debera mostrar la pantalla de cambio exitoso de migraciones normal
1.12– MIGRACIÓN NORMAL – PANTALLA DE BLOQUEO.;Migraciones-Normal;La aplicación debera mostrar las pantalla bloqueadas en las opciones de el menú haburguesa (Pásate a un plan , Movistar Libre, Recarga SOS) , de igual manera la sección Recarga, Compra, Movistar Libre tambien contaran con pantallas de bloqueo.
1.13– MIGRACIÓN NORMAL – DATOS INCORRECTOS.;Migraciones-Normal;La aplicación no permitira seguir el flujo ya que los datos son incorrectos.
